unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
18d8f862-c351-41fd-8c76-cec49d99840d,1605473006.389794,0.0,"[[0.51062672 0.48937328]
 [0.50537579 0.49462421]
 [0.49994836 0.50005164]
 [0.50431203 0.49568797]
 [0.508238   0.491762  ]]","['united_states', 22, 'aavail_premium', 11]",0.1,000:00:00
aad3438d-729a-46f0-97bc-5b0d4080f780,1605473006.3940177,0.0,"[[0.51062672 0.48937328]
 [0.50537579 0.49462421]
 [0.49994836 0.50005164]
 [0.50431203 0.49568797]
 [0.508238   0.491762  ]]","['united_states', 21, 'aavail_unlimited', 22]",0.1,000:00:00
6448fe2d-19f1-4925-814c-a2749e90fe66,1605473006.3950107,1.0,"[[0.51062672 0.48937328]
 [0.50537579 0.49462421]
 [0.49994836 0.50005164]
 [0.50431203 0.49568797]
 [0.508238   0.491762  ]]","['singapore', 26, 'aavail_basic', 15]",0.1,000:00:00
bc45f9d0-1384-41e8-b5c3-80fa83e2e379,1605473006.3950107,0.0,"[[0.51062672 0.48937328]
 [0.50537579 0.49462421]
 [0.49994836 0.50005164]
 [0.50431203 0.49568797]
 [0.508238   0.491762  ]]","['united_states', 28, 'aavail_unlimited', 22]",0.1,000:00:00
7ecb2439-462e-4abe-b93a-2b0cc0a4466c,1605473006.4034846,0.0,"[[0.51062672 0.48937328]
 [0.50537579 0.49462421]
 [0.49994836 0.50005164]
 [0.50431203 0.49568797]
 [0.508238   0.491762  ]]","['united_states', 23, 'aavail_premium', 14]",0.1,000:00:00
8829b025-0c94-4096-97b8-8e04db37b16f,1605473023.044881,0.0,"[[0.5069746  0.4930254 ]
 [0.49588111 0.50411889]
 [0.49908999 0.50091001]
 [0.50463119 0.49536881]
 [0.51493866 0.48506134]]","['united_states', 38, 'aavail_unlimited', 25]",0.1,000:00:00
0d289a65-6864-4314-a638-568bc69a8491,1605473023.0476756,1.0,"[[0.5069746  0.4930254 ]
 [0.49588111 0.50411889]
 [0.49908999 0.50091001]
 [0.50463119 0.49536881]
 [0.51493866 0.48506134]]","['singapore', 26, 'aavail_unlimited', 8]",0.1,000:00:00
d4a13403-5ed7-4039-b296-d870980803fe,1605473023.04883,1.0,"[[0.5069746  0.4930254 ]
 [0.49588111 0.50411889]
 [0.49908999 0.50091001]
 [0.50463119 0.49536881]
 [0.51493866 0.48506134]]","['singapore', 40, 'aavail_premium', 13]",0.1,000:00:00
bbc944e7-5d04-4268-9fdd-5e65a038a9e2,1605473023.0513763,0.0,"[[0.5069746  0.4930254 ]
 [0.49588111 0.50411889]
 [0.49908999 0.50091001]
 [0.50463119 0.49536881]
 [0.51493866 0.48506134]]","['united_states', 23, 'aavail_unlimited', 22]",0.1,000:00:00
6c2249c7-4c81-41b4-b84b-729d41d2491b,1605473023.0513763,0.0,"[[0.5069746  0.4930254 ]
 [0.49588111 0.50411889]
 [0.49908999 0.50091001]
 [0.50463119 0.49536881]
 [0.51493866 0.48506134]]","['united_states', 20, 'aavail_basic', 17]",0.1,000:00:00
46108ca7-671c-4421-b180-ce216709ecd9,1605473064.7691474,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['singapore', 18, 'aavail_basic', 19, 0.0]",0.1,000:00:00
dc5bc0e6-0b30-477c-a352-e64968ec3029,1605473064.772353,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['united_states', 33, 'aavail_basic', 20, 1.0]",0.1,000:00:00
ec74ff25-2e82-4f18-b393-7e043010b0dc,1605473064.7743468,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['united_states', 45, 'aavail_unlimited', 4, 0.0]",0.1,000:00:00
47f1f091-ae93-48da-bf84-9c1a90c3f3aa,1605473064.7753437,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['united_states', 40, 'aavail_premium', 4, 0.0]",0.1,000:00:00
fbcb7574-8755-4a48-a408-5e385d28c833,1605473064.7753437,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['united_states', 25, 'aavail_premium', 24, 0.0]",0.1,000:00:00
9f7a95e6-2c24-4ef4-b4f0-a4d4b0fd973a,1605473087.3522973,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['singapore', 18, 'aavail_basic', 19, 0.0]",0.1,000:00:00
d9a4f301-96cd-4d53-b72a-b564cbd0de14,1605473087.3561866,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['united_states', 33, 'aavail_basic', 20, 1.0]",0.1,000:00:00
cf749217-f75f-42e6-b81b-93cbc6e90bba,1605473087.3561866,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['united_states', 45, 'aavail_unlimited', 4, 0.0]",0.1,000:00:00
62bcae77-0139-46c4-a5e0-811a684b74d2,1605473087.3622494,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['united_states', 40, 'aavail_premium', 4, 0.0]",0.1,000:00:00
2d9c8cb6-292a-4aab-ae40-ef81fa4d2a13,1605473087.3622494,0.0,"[[0.501659   0.498341  ]
 [0.51050392 0.48949608]
 [0.50981466 0.49018534]
 [0.50885671 0.49114329]
 [0.50574896 0.49425104]]","['united_states', 25, 'aavail_premium', 24, 0.0]",0.1,000:00:00
